run,enemy,generation,fitness,mean.fitness,std.fitness
19/09/2024 19:31:40,1,0,39.18,-1.921,11.039
19/09/2024 19:31:40,1,1,39.18,1.792,14.59
19/09/2024 19:31:40,1,2,47.484,14.766,17.847
19/09/2024 19:31:40,1,3,57.174,33.579,12.355
19/09/2024 19:31:40,1,4,57.174,36.927,9.976
19/09/2024 19:31:40,1,5,57.174,37.535,9.436
19/09/2024 19:31:40,1,6,57.174,39.452,6.871
19/09/2024 19:31:40,1,7,57.174,39.231,7.645
19/09/2024 19:31:40,1,8,57.18,37.407,10.088
19/09/2024 19:31:40,1,9,57.18,39.855,6.462
19/09/2024 19:31:40,1,10,66.086,37.231,12.027
19/09/2024 19:31:40,1,11,66.086,39.48,9.235
19/09/2024 19:31:40,1,12,66.086,40.702,7.717
19/09/2024 19:31:40,1,13,66.086,39.064,10.129
19/09/2024 19:31:40,1,14,66.086,40.193,7.517
19/09/2024 19:31:40,1,15,94.853,40.311,8.916
19/09/2024 19:32:03,1,0,57.165,-0.583,12.921
19/09/2024 19:32:03,1,1,57.165,6.935,16.614
19/09/2024 19:32:03,1,2,66.18,20.401,15.089
19/09/2024 19:32:03,1,3,66.27,27.329,13.465
19/09/2024 19:32:03,1,4,66.27,32.202,11.903
19/09/2024 19:32:03,1,5,94.791,36.79,12.349
19/09/2024 19:32:03,1,6,94.791,37.778,10.62
19/09/2024 19:32:03,1,7,94.853,37.496,12.468
19/09/2024 19:32:03,1,8,94.853,39.42,11.312
19/09/2024 19:32:03,1,9,94.853,40.127,11.001
19/09/2024 19:32:03,1,10,94.853,40.541,10.871
19/09/2024 19:32:03,1,11,94.853,40.639,10.559
19/09/2024 19:32:03,1,12,94.853,40.953,11.316
19/09/2024 19:32:03,1,13,94.853,41.188,13.098
19/09/2024 19:32:03,1,14,94.853,41.326,14.649
19/09/2024 19:32:03,1,15,94.853,41.302,13.264
19/09/2024 19:32:24,1,0,39.111,-3.72,7.77
19/09/2024 19:32:24,1,1,48.086,-1.011,11.182
19/09/2024 19:32:24,1,2,65.941,5.496,16.012
19/09/2024 19:32:24,1,3,94.9,22.936,19.124
19/09/2024 19:32:24,1,4,94.9,31.363,18.165
19/09/2024 19:32:24,1,5,94.9,40.184,14.283
19/09/2024 19:32:24,1,6,94.9,41.214,15.954
19/09/2024 19:32:24,1,7,94.9,41.508,14.83
19/09/2024 19:32:24,1,8,94.9,39.591,14.794
19/09/2024 19:32:24,1,9,94.9,40.093,14.68
19/09/2024 19:32:24,1,10,94.9,39.373,13.912
19/09/2024 19:32:24,1,11,94.9,41.203,14.532
19/09/2024 19:32:24,1,12,94.9,40.989,14.697
19/09/2024 19:32:24,1,13,94.9,40.888,13.848
19/09/2024 19:32:24,1,14,94.9,41.43,17.034
19/09/2024 19:32:24,1,15,94.9,40.313,16.955
19/09/2024 19:32:45,2,0,91.491,10.195,29.716
19/09/2024 19:32:45,2,1,91.769,53.449,30.849
19/09/2024 19:32:45,2,2,93.003,70.655,24.235
19/09/2024 19:32:45,2,3,93.003,76.967,19.474
19/09/2024 19:32:45,2,4,93.41,83.254,12.903
19/09/2024 19:32:45,2,5,93.41,83.633,12.705
19/09/2024 19:32:45,2,6,93.41,83.19,14.49
19/09/2024 19:32:45,2,7,93.41,86.122,7.761
19/09/2024 19:32:45,2,8,93.41,84.742,10.789
19/09/2024 19:32:45,2,9,93.41,83.079,12.453
19/09/2024 19:32:45,2,10,93.41,84.167,10.564
19/09/2024 19:32:45,2,11,93.41,83.153,14.887
19/09/2024 19:32:45,2,12,93.41,83.482,12.514
19/09/2024 19:32:45,2,13,93.41,83.825,11.206
19/09/2024 19:32:45,2,14,93.41,85.975,8.849
19/09/2024 19:32:45,2,15,93.41,84.004,14.285
19/09/2024 19:33:05,2,0,91.491,9.449,28.288
19/09/2024 19:33:05,2,1,92.207,46.097,30.262
19/09/2024 19:33:05,2,2,93.203,67.796,26.692
19/09/2024 19:33:05,2,3,93.203,72.755,22.897
19/09/2024 19:33:05,2,4,93.203,78.707,21.406
19/09/2024 19:33:05,2,5,93.41,82.296,17.939
19/09/2024 19:33:05,2,6,93.41,83.812,16.454
19/09/2024 19:33:05,2,7,93.41,80.02,20.207
19/09/2024 19:33:05,2,8,93.41,81.518,19.006
19/09/2024 19:33:05,2,9,93.41,82.239,17.987
19/09/2024 19:33:05,2,10,93.41,80.802,20.271
19/09/2024 19:33:05,2,11,93.41,84.328,13.434
19/09/2024 19:33:05,2,12,93.41,82.302,17.04
19/09/2024 19:33:05,2,13,93.41,82.645,16.844
19/09/2024 19:33:05,2,14,93.41,81.265,19.202
19/09/2024 19:33:05,2,15,93.41,86.546,13.376
19/09/2024 19:33:27,2,0,92.076,14.04,34.095
19/09/2024 19:33:27,2,1,92.647,61.3,28.016
19/09/2024 19:33:27,2,2,92.647,74.716,21.019
19/09/2024 19:33:27,2,3,92.691,76.877,19.53
19/09/2024 19:33:27,2,4,93.41,78.733,18.611
19/09/2024 19:33:27,2,5,93.41,81.706,15.157
19/09/2024 19:33:27,2,6,93.41,85.144,11.763
19/09/2024 19:33:27,2,7,93.41,79.969,18.187
19/09/2024 19:33:27,2,8,93.41,79.622,18.646
19/09/2024 19:33:27,2,9,93.41,81.889,15.461
19/09/2024 19:33:27,2,10,93.41,80.635,19.13
19/09/2024 19:33:27,2,11,93.41,83.364,16.187
19/09/2024 19:33:27,2,12,93.41,84.131,15.681
19/09/2024 19:33:27,2,13,93.41,86.214,13.091
19/09/2024 19:33:27,2,14,93.41,84.852,14.945
19/09/2024 19:33:27,2,15,93.41,88.629,8.854
19/09/2024 19:33:48,3,0,56.742,1.672,13.288
19/09/2024 19:33:48,3,1,56.742,11.572,12.95
19/09/2024 19:33:48,3,2,56.742,23.199,13.548
19/09/2024 19:33:48,3,3,84.61,28.98,17.362
19/09/2024 19:33:48,3,4,85.593,37.287,19.344
19/09/2024 19:33:48,3,5,85.593,48.68,17.577
19/09/2024 19:33:48,3,6,86.454,53.553,17.746
19/09/2024 19:33:48,3,7,86.454,57.389,11.758
19/09/2024 19:33:48,3,8,86.454,56.288,13.414
19/09/2024 19:33:48,3,9,86.454,57.428,11.137
19/09/2024 19:33:48,3,10,87.591,58.489,11.313
19/09/2024 19:33:48,3,11,87.591,58.032,14.546
19/09/2024 19:33:48,3,12,87.591,58.49,10.366
19/09/2024 19:33:48,3,13,87.591,56.994,10.857
19/09/2024 19:33:48,3,14,87.591,55.785,12.117
19/09/2024 19:33:48,3,15,87.591,57.228,11.411
19/09/2024 19:34:21,3,0,57.376,2.042,15.042
19/09/2024 19:34:21,3,1,57.376,14.998,16.375
19/09/2024 19:34:21,3,2,74.886,25.687,16.194
19/09/2024 19:34:21,3,3,74.886,30.797,17.141
19/09/2024 19:34:21,3,4,89.725,40.373,19.158
19/09/2024 19:34:21,3,5,89.725,42.568,20.19
19/09/2024 19:34:21,3,6,89.725,49.992,19.724
19/09/2024 19:34:21,3,7,89.841,55.715,14.73
19/09/2024 19:34:21,3,8,91.529,57.876,15.202
19/09/2024 19:34:21,3,9,91.529,54.755,14.216
19/09/2024 19:34:21,3,10,91.529,54.166,14.727
19/09/2024 19:34:21,3,11,91.529,55.923,13.191
19/09/2024 19:34:21,3,12,91.529,57.62,9.042
19/09/2024 19:34:21,3,13,91.529,57.724,10.512
19/09/2024 19:34:21,3,14,91.529,58.684,11.379
19/09/2024 19:34:21,3,15,91.529,58.506,10.691
19/09/2024 19:34:54,3,0,56.758,-1.523,10.793
19/09/2024 19:34:54,3,1,56.758,8.244,13.814
19/09/2024 19:34:54,3,2,65.771,21.696,14.721
19/09/2024 19:34:54,3,3,74.737,26.4,15.809
19/09/2024 19:34:54,3,4,86.812,32.838,19.415
19/09/2024 19:34:54,3,5,87.812,40.54,20.649
19/09/2024 19:34:54,3,6,87.812,46.542,19.81
19/09/2024 19:34:54,3,7,87.812,53.068,17.135
19/09/2024 19:34:54,3,8,87.812,55.143,14.003
19/09/2024 19:34:54,3,9,87.812,54.73,14.475
19/09/2024 19:34:54,3,10,90.76,56.662,14.084
19/09/2024 19:34:54,3,11,90.76,54.92,16.089
19/09/2024 19:34:54,3,12,90.76,56.19,13.286
19/09/2024 19:34:54,3,13,91.56,56.977,13.036
19/09/2024 19:34:54,3,14,91.56,58.597,10.917
19/09/2024 19:34:54,3,15,91.56,57.503,15.924
19/09/2024 19:35:26,4,0,56.712,-0.378,10.057
19/09/2024 19:35:26,4,1,56.712,10.473,11.662
19/09/2024 19:35:26,4,2,56.712,16.917,9.863
19/09/2024 19:35:26,4,3,57.001,20.893,8.368
19/09/2024 19:35:26,4,4,57.001,21.215,8.217
19/09/2024 19:35:26,4,5,57.001,20.432,9.205
19/09/2024 19:35:26,4,6,65.754,21.161,9.732
19/09/2024 19:35:26,4,7,65.754,22.394,9.219
19/09/2024 19:35:26,4,8,65.775,23.493,11.379
19/09/2024 19:35:26,4,9,65.777,24.191,12.864
19/09/2024 19:35:26,4,10,65.777,25.084,13.251
19/09/2024 19:35:26,4,11,65.777,26.013,12.775
19/09/2024 19:35:26,4,12,65.777,26.092,13.406
19/09/2024 19:35:26,4,13,65.777,27.898,14.472
19/09/2024 19:35:26,4,14,65.777,27.168,14.835
19/09/2024 19:35:26,4,15,65.777,27.19,14.248
19/09/2024 19:35:44,4,0,21.639,-0.526,8.893
19/09/2024 19:35:44,4,1,47.412,9.528,12.211
19/09/2024 19:35:44,4,2,65.208,19.468,9.859
19/09/2024 19:35:44,4,3,65.208,20.778,9.149
19/09/2024 19:35:44,4,4,65.208,23.804,7.837
19/09/2024 19:35:44,4,5,74.358,23.677,12.457
19/09/2024 19:35:44,4,6,85.531,24.775,14.376
19/09/2024 19:35:44,4,7,85.531,23.965,14.685
19/09/2024 19:35:44,4,8,85.531,25.31,15.611
19/09/2024 19:35:44,4,9,85.531,26.675,16.045
19/09/2024 19:35:44,4,10,86.602,27.82,18.341
19/09/2024 19:35:44,4,11,87.896,30.544,20.23
19/09/2024 19:35:44,4,12,87.896,32.256,20.913
19/09/2024 19:35:44,4,13,87.896,32.992,22.591
19/09/2024 19:35:44,4,14,87.896,36.835,21.675
19/09/2024 19:35:44,4,15,87.896,39.311,24.243
19/09/2024 19:36:06,4,0,30.362,-0.512,9.377
19/09/2024 19:36:06,4,1,47.837,11.774,13.219
19/09/2024 19:36:06,4,2,47.996,19.033,10.554
19/09/2024 19:36:06,4,3,56.82,22.141,8.289
19/09/2024 19:36:06,4,4,83.701,24.03,10.989
19/09/2024 19:36:06,4,5,88.939,24.196,14.99
19/09/2024 19:36:06,4,6,88.939,24.331,18.246
19/09/2024 19:36:06,4,7,88.939,26.244,19.043
19/09/2024 19:36:06,4,8,88.939,26.705,19.123
19/09/2024 19:36:06,4,9,88.939,25.665,17.995
19/09/2024 19:36:06,4,10,88.939,25.509,16.198
19/09/2024 19:36:06,4,11,88.939,26.592,18.149
19/09/2024 19:36:06,4,12,88.939,26.334,18.351
19/09/2024 19:36:06,4,13,88.939,26.696,19.568
19/09/2024 19:36:06,4,14,88.939,27.706,20.649
19/09/2024 19:36:06,4,15,88.939,31.668,23.203
19/09/2024 19:36:27,5,0,91.598,9.467,27.15
19/09/2024 19:36:27,5,1,92.775,35.548,40.156
19/09/2024 19:36:27,5,2,93.982,71.193,31.059
19/09/2024 19:36:27,5,3,93.982,79.877,24.988
19/09/2024 19:36:27,5,4,93.982,86.034,16.717
19/09/2024 19:36:27,5,5,93.982,89.777,8.996
19/09/2024 19:36:27,5,6,93.982,88.604,13.624
19/09/2024 19:36:27,5,7,93.982,89.314,13.108
19/09/2024 19:36:27,5,8,93.992,89.929,12.769
19/09/2024 19:36:27,5,9,93.992,91.957,1.511
19/09/2024 19:36:27,5,10,94.038,91.282,7.701
19/09/2024 19:36:27,5,11,94.207,92.209,0.866
19/09/2024 19:36:27,5,12,94.207,90.758,9.627
19/09/2024 19:36:27,5,13,94.207,90.137,11.847
19/09/2024 19:36:27,5,14,94.207,91.835,4.774
19/09/2024 19:36:27,5,15,94.207,92.414,0.45
19/09/2024 19:37:02,5,0,92.395,10.854,29.261
19/09/2024 19:37:02,5,1,92.395,40.979,40.549
19/09/2024 19:37:02,5,2,93.0,76.334,28.981
19/09/2024 19:37:02,5,3,93.947,83.835,21.278
19/09/2024 19:37:02,5,4,93.947,90.8,2.66
19/09/2024 19:37:02,5,5,93.947,90.677,5.617
19/09/2024 19:37:02,5,6,93.947,90.901,5.639
19/09/2024 19:37:02,5,7,93.947,91.69,1.547
19/09/2024 19:37:02,5,8,93.947,89.88,12.001
19/09/2024 19:37:02,5,9,94.523,91.535,4.023
19/09/2024 19:37:02,5,10,94.523,89.121,14.67
19/09/2024 19:37:02,5,11,94.523,90.429,10.099
19/09/2024 19:37:02,5,12,94.523,91.992,1.385
19/09/2024 19:37:02,5,13,94.523,91.355,7.65
19/09/2024 19:37:02,5,14,94.523,92.08,1.168
19/09/2024 19:37:02,5,15,94.523,92.096,1.147
19/09/2024 19:37:33,5,0,92.395,5.246,23.546
19/09/2024 19:37:33,5,1,92.395,19.672,34.113
19/09/2024 19:37:33,5,2,92.395,45.328,41.714
19/09/2024 19:37:33,5,3,92.698,74.322,31.011
19/09/2024 19:37:33,5,4,93.152,86.91,14.495
19/09/2024 19:37:33,5,5,93.665,89.076,8.852
19/09/2024 19:37:33,5,6,93.855,90.77,2.0
19/09/2024 19:37:33,5,7,93.855,90.251,9.626
19/09/2024 19:37:33,5,8,93.855,90.752,7.706
19/09/2024 19:37:33,5,9,93.855,91.777,1.479
19/09/2024 19:37:33,5,10,94.224,92.192,1.037
19/09/2024 19:37:33,5,11,94.224,91.43,7.839
19/09/2024 19:37:33,5,12,94.224,92.119,1.228
19/09/2024 19:37:33,5,13,94.224,90.768,9.039
19/09/2024 19:37:33,5,14,94.224,90.732,9.089
19/09/2024 19:37:33,5,15,94.224,92.208,1.096
19/09/2024 19:38:07,6,0,47.92,-0.845,10.28
19/09/2024 19:38:07,6,1,57.394,8.095,14.331
19/09/2024 19:38:07,6,2,75.33,18.797,15.945
19/09/2024 19:38:07,6,3,75.33,24.231,14.224
19/09/2024 19:38:07,6,4,75.566,27.211,16.627
19/09/2024 19:38:07,6,5,75.566,26.496,17.983
19/09/2024 19:38:07,6,6,75.566,32.01,17.985
19/09/2024 19:38:07,6,7,75.593,31.889,20.284
19/09/2024 19:38:07,6,8,75.593,33.685,20.039
19/09/2024 19:38:07,6,9,86.88,39.221,19.826
19/09/2024 19:38:07,6,10,86.88,40.431,20.35
19/09/2024 19:38:07,6,11,87.343,41.168,20.436
19/09/2024 19:38:07,6,12,87.343,44.699,20.998
19/09/2024 19:38:07,6,13,87.343,46.879,21.776
