run,enemy,generation,fitness,mean.fitness,std.fitness
25/09/2024 13:15:59,1,0,3.996,-5.538,1.781
25/09/2024 13:15:59,1,1,39.014,-2.744,9.378
25/09/2024 13:15:59,1,2,47.979,5.075,14.339
25/09/2024 13:15:59,1,3,47.979,11.066,13.62
25/09/2024 13:15:59,1,4,47.979,17.32,13.98
25/09/2024 13:15:59,1,5,47.979,22.994,12.521
25/09/2024 13:15:59,1,6,48.106,30.745,10.514
25/09/2024 13:15:59,1,7,75.036,33.417,14.14
25/09/2024 13:15:59,1,8,75.036,35.47,15.118
25/09/2024 13:15:59,1,9,75.036,37.258,14.548
25/09/2024 13:15:59,1,10,75.036,42.928,10.54
25/09/2024 13:15:59,1,11,57.019,40.538,8.387
25/09/2024 13:15:59,1,12,57.019,42.623,5.963
25/09/2024 13:15:59,1,13,57.019,42.584,7.172
25/09/2024 13:15:59,1,14,75.195,42.585,9.808
25/09/2024 13:15:59,1,15,75.195,41.092,11.072
25/09/2024 13:15:59,1,16,75.195,41.13,9.997
25/09/2024 13:15:59,1,17,75.195,41.746,8.404
25/09/2024 13:15:59,1,18,75.195,42.057,8.454
25/09/2024 13:15:59,1,19,56.965,39.641,9.417
25/09/2024 13:15:59,1,20,48.06,40.212,3.824
25/09/2024 13:16:05,1,0,66.27,-1.549,15.017
25/09/2024 13:16:05,1,1,66.27,2.344,17.421
25/09/2024 13:16:05,1,2,66.27,10.714,18.58
25/09/2024 13:16:05,1,3,66.27,26.593,12.582
25/09/2024 13:16:05,1,4,66.27,28.988,10.758
25/09/2024 13:16:05,1,5,66.27,28.999,10.513
25/09/2024 13:16:05,1,6,39.076,28.674,8.298
25/09/2024 13:16:05,1,7,66.27,30.483,10.96
25/09/2024 13:16:05,1,8,66.27,31.069,11.157
25/09/2024 13:16:05,1,9,66.27,36.411,10.38
25/09/2024 13:16:05,1,10,94.853,43.032,12.045
25/09/2024 13:16:05,1,11,94.853,40.048,13.24
25/09/2024 13:16:05,1,12,94.853,39.144,13.161
25/09/2024 13:16:05,1,13,94.853,38.833,11.745
25/09/2024 13:16:05,1,14,94.853,39.413,13.067
25/09/2024 13:16:05,1,15,94.853,40.614,10.71
25/09/2024 13:16:05,1,16,94.853,41.579,14.901
25/09/2024 13:16:05,1,17,94.853,40.399,15.568
25/09/2024 13:16:05,1,18,94.853,40.323,12.251
25/09/2024 13:16:05,1,19,66.014,38.469,6.896
25/09/2024 13:16:05,1,20,66.014,38.778,6.313
25/09/2024 13:16:11,1,0,3.27,-5.16,2.251
25/09/2024 13:16:11,1,1,39.142,1.728,12.28
25/09/2024 13:16:11,1,2,39.142,5.912,12.094
25/09/2024 13:16:11,1,3,39.142,11.585,10.13
25/09/2024 13:16:11,1,4,39.216,17.634,10.546
25/09/2024 13:16:11,1,5,48.024,20.926,11.462
25/09/2024 13:16:11,1,6,39.142,22.399,9.708
25/09/2024 13:16:11,1,7,39.142,23.901,7.673
25/09/2024 13:16:11,1,8,48.156,25.03,10.781
25/09/2024 13:16:11,1,9,48.156,25.654,10.448
25/09/2024 13:16:11,1,10,48.122,27.142,10.594
25/09/2024 13:16:11,1,11,48.174,27.479,9.791
25/09/2024 13:16:11,1,12,57.073,28.682,12.011
25/09/2024 13:16:11,1,13,48.174,30.752,9.75
25/09/2024 13:16:11,1,14,66.117,33.424,11.185
25/09/2024 13:16:11,1,15,66.117,37.571,8.363
25/09/2024 13:16:11,1,16,57.019,37.862,8.548
25/09/2024 13:16:11,1,17,57.019,37.565,10.105
25/09/2024 13:16:11,1,18,57.019,38.746,8.497
25/09/2024 13:16:11,1,19,57.019,41.085,9.191
25/09/2024 13:16:11,1,20,57.019,42.298,6.323
25/09/2024 13:16:17,1,0,39.014,-2.485,10.505
25/09/2024 13:16:17,1,1,39.014,-2.124,10.508
25/09/2024 13:16:17,1,2,39.014,0.943,13.444
25/09/2024 13:16:17,1,3,75.014,8.118,19.125
25/09/2024 13:16:17,1,4,75.014,20.588,17.872
25/09/2024 13:16:17,1,5,75.014,29.543,14.231
25/09/2024 13:16:17,1,6,75.014,34.29,12.82
25/09/2024 13:16:17,1,7,75.014,36.685,14.061
25/09/2024 13:16:17,1,8,75.014,38.184,13.358
25/09/2024 13:16:17,1,9,66.014,40.59,10.856
25/09/2024 13:16:17,1,10,66.014,37.31,14.854
25/09/2024 13:16:17,1,11,66.014,42.047,8.468
25/09/2024 13:16:17,1,12,57.195,40.257,7.928
25/09/2024 13:16:17,1,13,75.014,40.262,10.779
25/09/2024 13:16:17,1,14,75.198,42.358,13.011
25/09/2024 13:16:17,1,15,75.198,43.239,12.444
25/09/2024 13:16:17,1,16,75.198,44.432,11.758
25/09/2024 13:16:17,1,17,94.853,46.587,14.369
25/09/2024 13:16:17,1,18,94.853,44.797,15.507
25/09/2024 13:16:17,1,19,94.853,46.008,15.555
25/09/2024 13:16:17,1,20,75.198,45.337,12.146
25/09/2024 13:16:23,1,0,30.021,-3.939,6.685
25/09/2024 13:16:23,1,1,39.014,-1.793,10.221
25/09/2024 13:16:23,1,2,94.802,2.805,19.869
25/09/2024 13:16:23,1,3,94.802,11.468,22.987
25/09/2024 13:16:23,1,4,94.802,20.089,22.775
25/09/2024 13:16:23,1,5,94.802,33.2,21.985
25/09/2024 13:16:23,1,6,94.802,43.06,19.124
25/09/2024 13:16:23,1,7,94.802,48.442,17.467
25/09/2024 13:16:23,1,8,94.802,47.531,15.942
25/09/2024 13:16:23,1,9,94.802,49.931,16.337
25/09/2024 13:16:23,1,10,94.802,50.223,15.377
25/09/2024 13:16:23,1,11,94.802,50.578,15.64
25/09/2024 13:16:23,1,12,94.802,47.279,14.68
25/09/2024 13:16:23,1,13,94.802,48.478,14.32
25/09/2024 13:16:23,1,14,94.802,48.785,14.945
25/09/2024 13:16:23,1,15,94.802,47.528,17.28
25/09/2024 13:16:23,1,16,94.802,48.079,14.696
25/09/2024 13:16:23,1,17,94.802,48.073,14.699
25/09/2024 13:16:23,1,18,94.802,48.073,14.699
25/09/2024 13:16:23,1,19,75.014,49.224,17.027
25/09/2024 13:16:23,1,20,94.9,55.407,19.315
25/09/2024 13:16:29,1,0,75.27,-0.097,16.986
25/09/2024 13:16:29,1,1,75.27,5.64,19.676
25/09/2024 13:16:29,1,2,75.27,16.405,21.092
25/09/2024 13:16:29,1,3,75.27,29.282,16.262
25/09/2024 13:16:29,1,4,94.785,34.999,15.856
25/09/2024 13:16:29,1,5,94.785,34.386,17.329
25/09/2024 13:16:29,1,6,94.785,38.267,13.198
25/09/2024 13:16:29,1,7,94.785,40.645,12.316
